"日期","收盘","开盘","高","低","百分比变化"
"2018年12月12日","6.8839","6.9000","6.9000","6.8767","-0.23%"
"2018年12月11日","6.9000","6.9120","6.9158","6.8932","-0.17%"
"2018年12月10日","6.9117","6.8918","6.9181","6.8861","0.52%"
"2018年12月9日","6.8757","6.8744","6.8757","6.8744","0.00%"
"2018年12月7日","6.8757","6.8800","6.8919","6.8682","-0.10%"
"2018年12月6日","6.8827","6.8559","6.8970","6.8559","0.38%"
"2018年12月5日","6.8567","6.8518","6.8712","6.8458","0.28%"
"2018年12月4日","6.8373","6.8835","6.8915","6.8338","-0.66%"
"2018年12月3日","6.8830","6.9275","6.9367","6.8830","-1.09%"
"2018年12月2日","6.9590","6.9590","6.9590","6.9590","-0.02%"
"2018年11月30日","6.9605","6.9496","6.9605","6.9449","0.26%"
"2018年11月29日","6.9425","6.9437","6.9477","6.9353","-0.16%"
"2018年11月28日","6.9539","6.9499","6.9574","6.9499","0.03%"
"2018年11月27日","6.9515","6.9491","6.9552","6.9446","0.15%"
"2018年11月26日","6.9408","6.9466","6.9481","6.9341","-0.11%"
"2018年11月25日","6.9485","6.9485","6.9485","6.9485","0.00%"
"2018年11月23日","6.9485","6.9328","6.9496","6.9320","0.24%"
"2018年11月22日","6.9319","6.9317","6.9389","6.9230","0.07%"
"2018年11月21日","6.9270","6.9435","6.9519","6.9270","-0.26%"
"2018年11月20日","6.9452","6.9439","6.9469","6.9367","0.05%"
"2018年11月19日","6.9420","6.9348","6.9472","6.9347","0.06%"
"2018年11月18日","6.9380","6.9380","6.9380","6.9380","0.00%"
"2018年11月16日","6.9380","6.9392","6.9518","6.9297","-0.02%"
"2018年11月15日","6.9393","6.9428","6.9473","6.9329","-0.16%"
"2018年11月14日","6.9505","6.9491","6.9551","6.9463","-0.08%"
"2018年11月13日","6.9560","6.9657","6.9710","6.9496","-0.11%"
"2018年11月12日","6.9635","6.9519","6.9704","6.9490","0.09%"
"2018年11月11日","6.9569","6.9569","6.9569","6.9569","0.00%"
"2018年11月9日","6.9568","6.9399","6.9568","6.9399","0.32%"
"2018年11月8日","6.9345","6.9254","6.9394","6.9254","0.21%"
"2018年11月7日","6.9200","6.9256","6.9435","6.9145","0.01%"
"2018年11月6日","6.9195","6.9268","6.9307","6.9136","-0.09%"
"2018年11月5日","6.9257","6.8902","6.9309","6.8902","0.51%"
"2018年11月4日","6.8909","6.8909","6.8909","6.8909","0.00%"
"2018年11月2日","6.8907","6.9108","6.9328","6.8689","-0.47%"
"2018年11月1日","6.9234","6.9685","6.9723","6.9216","-0.75%"
"2018年10月31日","6.9756","6.9680","6.9783","6.9638","0.12%"
"2018年10月30日","6.9672","6.9615","6.9720","6.9592","0.08%"
"2018年10月29日","6.9619","6.9402","6.9629","6.9401","0.26%"
"2018年10月28日","6.9435","6.9435","6.9435","6.9435","0.00%"
"2018年10月26日","6.9435","6.9535","6.9652","6.9351","-0.08%"
"2018年10月25日","6.9489","6.9443","6.9527","6.9422","0.07%"
"2018年10月24日","6.9440","6.9405","6.9456","6.9369","0.08%"
"2018年10月23日","6.9383","6.9454","6.9455","6.9357","-0.13%"
"2018年10月22日","6.9474","6.9319","6.9478","6.9319","0.26%"
"2018年10月21日","6.9295","6.9296","6.9296","6.9295","-0.00%"
"2018年10月19日","6.9297","6.9402","6.9422","6.9267","-0.11%"
"2018年10月18日","6.9376","6.9349","6.9429","6.9340","0.15%"
"2018年10月17日","6.9275","6.9115","6.9298","6.9114","0.22%"
"2018年10月16日","6.9120","6.9153","6.9277","6.9071","-0.07%"
"2018年10月15日","6.9168","6.9232","6.9336","6.9164","-0.08%"
"2018年10月14日","6.9222","6.9222","6.9222","6.9222","-0.00%"
"2018年10月12日","6.9225","6.8914","6.9322","6.8914","0.47%"
"2018年10月11日","6.8899","6.9243","6.9350","6.8899","-0.50%"
"2018年10月10日","6.9242","6.9227","6.9258","6.9169","0.02%"
"2018年10月9日","6.9227","6.9300","6.9300","6.9082","-0.12%"
"2018年10月8日","6.9307","6.9040","6.9338","6.8947","0.90%"
"2018年10月7日","6.8689","6.8689","6.8689","6.8689","0.00%"
"2018年10月5日","6.8689","6.8689","6.8689","6.8689","0.00%"
"2018年10月4日","6.8689","6.8689","6.8689","6.8689","0.00%"
"2018年10月3日","6.8689","6.8689","6.8689","6.8689","0.00%"
"2018年10月2日","6.8689","6.8689","6.8689","6.8689","0.00%"
"2018年10月1日","6.8689","6.8689","6.8689","6.8689","0.00%"
"2018年9月30日","6.8689","6.8690","6.8690","6.8689","0.00%"
"2018年9月28日","6.8689","6.8872","6.8905","6.8678","-0.31%"
"2018年9月27日","6.8902","6.8788","6.8933","6.8700","0.17%"
"2018年9月26日","6.8786","6.8748","6.8803","6.8708","0.18%"
"2018年9月25日","6.8665","6.8608","6.8842","6.8605","0.14%"
"2018年9月24日","6.8571","6.8571","6.8571","6.8571","-0.01%"
"2018年9月23日","6.8578","6.8577","6.8578","6.8576","0.01%"
"2018年9月21日","6.8571","6.8357","6.8604","6.8337","0.15%"
"2018年9月20日","6.8468","6.8515","6.8583","6.8403","-0.02%"
"2018年9月19日","6.8483","6.8653","6.8676","6.8473","-0.19%"
"2018年9月18日","6.8616","6.8552","6.8807","6.8552","0.07%"
"2018年9月17日","6.8570","6.8695","6.8781","6.8558","-0.14%"
"2018年9月16日","6.8666","6.8709","6.8709","6.8654","-0.03%"
"2018年9月14日","6.8690","6.8447","6.8690","6.8447","0.35%"
"2018年9月13日","6.8448","6.8368","6.8541","6.8282","-0.23%"
"2018年9月12日","6.8606","6.8736","6.8826","6.8606","-0.18%"
"2018年9月11日","6.8730","6.8656","6.8791","6.8582","0.25%"
"2018年9月10日","6.8556","6.8479","6.8667","6.8479","0.23%"
"2018年9月9日","6.8400","6.8438","6.8468","6.8395","-0.06%"
"2018年9月7日","6.8438","6.8332","6.8498","6.8265","0.12%"
"2018年9月6日","6.8355","6.8298","6.8424","6.8239","0.07%"
"2018年9月5日","6.8305","6.8303","6.8469","6.8292","-0.20%"
"2018年9月4日","6.8442","6.8240","6.8453","6.8061","0.31%"
"2018年9月3日","6.8228","6.8434","6.8469","6.8174","-0.19%"
"2018年9月2日","6.8359","6.8300","6.8395","6.8300","0.06%"
"2018年8月31日","6.8315","6.8472","6.8485","6.8230","-0.19%"
"2018年8月30日","6.8445","6.8216","6.8446","6.8216","0.34%"
"2018年8月29日","6.8213","6.8012","6.8299","6.8012","0.27%"
"2018年8月28日","6.8030","6.8134","6.8214","6.7984","-0.18%"
"2018年8月27日","6.8156","6.8168","6.8266","6.8064","0.21%"
"2018年8月26日","6.8016","6.8063","6.8065","6.8000","-0.08%"
"2018年8月24日","6.8070","6.8755","6.8947","6.8070","-1.03%"
"2018年8月23日","6.8777","6.8559","6.8799","6.8557","0.52%"
"2018年8月22日","6.8418","6.8388","6.8490","6.8388","-0.08%"
"2018年8月21日","6.8472","6.8382","6.8523","6.8338","-0.15%"
"2018年8月20日","6.8578","6.8625","6.8693","6.8467","-0.29%"
"2018年8月19日","6.8776","6.8776","6.8776","6.8776","0.00%"
"2018年8月17日","6.8775","6.8687","6.8967","6.8687","-0.07%"
"2018年8月16日","6.8825","6.9227","6.9227","6.8816","-0.75%"
"2018年8月15日","6.9348","6.8921","6.9348","6.8877","0.74%"
"2018年8月14日","6.8842","6.8872","6.8972","6.8799","-0.10%"
"2018年8月13日","6.8913","6.8762","6.8914","6.8700","0.64%"
"2018年8月12日","6.8472","6.8455","6.8473","6.8455","0.00%"
"2018年8月10日","6.8472","6.8360","6.8609","6.8308","0.38%"
"2018年8月9日","6.8210","6.8276","6.8381","6.8130","-0.22%"
"2018年8月8日","6.8357","6.8067","6.8414","6.8002","0.06%"
"2018年8月7日","6.8318","6.8510","6.8658","6.8223","-0.32%"
"2018年8月6日","6.8535","6.8276","6.8541","6.8010","0.28%"
"2018年8月5日","6.8342","6.8298","6.8352","6.8298","0.01%"
"2018年8月3日","6.8332","6.8584","6.8949","6.8332","-0.14%"
"2018年8月2日","6.8428","6.8094","6.8514","6.8093","0.29%"
"2018年8月1日","6.8227","6.8294","6.8369","6.7957","0.15%"
"2018年7月31日","6.8127","6.8349","6.8450","6.8127","-0.03%"
"2018年7月30日","6.8150","6.8208","6.8437","6.8150","0.02%"
"2018年7月29日","6.8137","6.8137","6.8137","6.8137","0.00%"
"2018年7月27日","6.8137","6.8080","6.8409","6.8018","0.31%"
"2018年7月26日","6.7927","6.7424","6.7958","6.7423","0.34%"
"2018年7月25日","6.7697","6.7951","6.8088","6.7573","-0.32%"
"2018年7月24日","6.7915","6.8145","6.8248","6.7914","-0.02%"
"2018年7月23日","6.7930","6.7535","6.7965","6.7404","0.50%"
"2018年7月22日","6.7592","6.7705","6.7705","6.7567","-0.17%"
"2018年7月20日","6.7709","6.7790","6.8155","6.7699","-0.06%"
"2018年7月19日","6.7751","6.7249","6.7881","6.7242","0.83%"
"2018年7月18日","6.7196","6.7065","6.7233","6.6986","0.20%"
"2018年7月17日","6.7065","6.6931","6.7081","6.6760","0.23%"
"2018年7月16日","6.6911","6.6919","6.7087","6.6751","-0.07%"
"2018年7月15日","6.6956","6.6882","6.6964","6.6882","0.06%"
"2018年7月13日","6.6917","6.6578","6.7054","6.6525","0.36%"
"2018年7月12日","6.6677","6.7023","6.7063","6.6634","-0.20%"
"2018年7月11日","6.6812","6.6734","6.6832","6.6563","0.77%"
"2018年7月10日","6.6299","6.5983","6.6353","6.5983","0.21%"
"2018年7月9日","6.6161","6.6429","6.6444","6.6135","-0.37%"
"2018年7月8日","6.6406","6.6425","6.6452","6.6389","-0.05%"
"2018年7月6日","6.6436","6.6380","6.6685","6.6380","0.10%"
"2018年7月5日","6.6371","6.6299","6.6478","6.6299","0.07%"
"2018年7月4日","6.6325","6.6403","6.6403","6.6040","-0.15%"
"2018年7月3日","6.6425","6.7089","6.7225","6.6410","-0.38%"
"2018年7月2日","6.6680","6.6317","6.6681","6.6311","0.64%"
"2018年7月1日","6.6253","6.6225","6.6319","6.6225","0.06%"
"2018年6月29日","6.6210","6.6305","6.6429","6.6085","-0.09%"
"2018年6月28日","6.6270","6.6181","6.6335","6.6090","0.34%"
"2018年6月27日","6.6047","6.5858","6.6200","6.5858","0.39%"
"2018年6月26日","6.5793","6.5373","6.5818","6.5369","0.60%"
"2018年6月25日","6.5400","6.5039","6.5474","6.5039","0.53%"
"2018年6月24日","6.5053","6.5052","6.5054","6.4991","-0.01%"
"2018年6月22日","6.5058","6.4947","6.5098","6.4947","0.19%"
"2018年6月21日","6.4932","6.4820","6.5094","6.4820","0.30%"
"2018年6月20日","6.4737","6.4654","6.4812","6.4654","-0.18%"
"2018年6月19日","6.4852","6.4428","6.4853","6.4428","0.71%"
"2018年6月18日","6.4394","6.4394","6.4394","6.4394","0.08%"
"2018年6月17日","6.4340","6.4375","6.4375","6.4339","-0.08%"
"2018年6月15日","6.4394","6.4195","6.4394","6.4131","0.59%"
"2018年6月14日","6.4017","6.3986","6.4048","6.3929","0.05%"
"2018年6月13日","6.3983","6.4134","6.4140","6.3968","-0.07%"
"2018年6月12日","6.4028","6.4111","6.4123","6.4023","0.02%"
"2018年6月11日","6.4017","6.4067","6.4101","6.4013","-0.08%"
"2018年6月10日","6.4067","6.4009","6.4068","6.4009","0.00%"
"2018年6月8日","6.4066","6.4005","6.4149","6.4005","0.23%"
"2018年6月7日","6.3921","6.3899","6.3987","6.3898","0.06%"
"2018年6月6日","6.3884","6.4072","6.4072","6.3862","-0.28%"
"2018年6月5日","6.4061","6.4065","6.4145","6.4001","-0.06%"
"2018年6月4日","6.4100","6.4230","6.4279","6.4062","-0.16%"
"2018年6月3日","6.4204","6.4204","6.4204","6.4204","0.00%"
"2018年6月1日","6.4204","6.4098","6.4217","6.4095","0.16%"
"2018年5月31日","6.4103","6.4174","6.4175","6.3995","-0.14%"
"2018年5月30日","6.4190","6.4207","6.4345","6.4161","0.02%"
"2018年5月29日","6.4176","6.4088","6.4230","6.4047","0.29%"
"2018年5月28日","6.3993","6.3892","6.4006","6.3887","0.46%"
"2018年5月27日","6.3698","6.3884","6.3884","6.3681","-0.34%"
"2018年5月25日","6.3918","6.3883","6.3929","6.3849","0.21%"
"2018年5月24日","6.3783","6.3896","6.3972","6.3773","-0.16%"
"2018年5月23日","6.3885","6.3695","6.3913","6.3695","0.33%"
"2018年5月22日","6.3675","6.3750","6.3793","6.3657","-0.25%"
"2018年5月21日","6.3835","6.3797","6.3947","6.3775","0.05%"
"2018年5月18日","6.3800","6.3730","6.3817","6.3691","0.20%"
"2018年5月17日","6.3671","6.3723","6.3723","6.3574","-0.07%"
"2018年5月16日","6.3715","6.3766","6.3804","6.3647","-0.10%"
"2018年5月15日","6.3777","6.3422","6.3804","6.3422","0.61%"
"2018年5月14日","6.3392","6.3338","6.3438","6.3338","0.08%"
"2018年5月11日","6.3341","6.3376","6.3491","6.3255","-0.24%"
"2018年5月10日","6.3492","6.3730","6.3742","6.3448","-0.21%"
"2018年5月9日","6.3624","6.3784","6.3861","6.3606","-0.13%"
"2018年5月8日","6.3707","6.3647","6.3708","6.3605","0.06%"
"2018年5月7日","6.3667","6.3528","6.3693","6.3487","0.06%"
"2018年5月4日","6.3627","6.3482","6.3669","6.3449","0.14%"
"2018年5月3日","6.3537","6.3633","6.3712","6.3472","-0.14%"
"2018年5月2日","6.3624","6.3540","6.3659","6.3540","0.46%"
"2018年5月1日","6.3332","6.3332","6.3332","6.3332","0.00%"
"2018年4月30日","6.3332","6.3332","6.3332","6.3332","0.00%"
"2018年4月27日","6.3332","6.3368","6.3472","6.3281","-0.05%"
"2018年4月26日","6.3365","6.3273","6.3369","6.3213","0.16%"
"2018年4月25日","6.3266","6.3064","6.3299","6.3034","0.32%"
"2018年4月24日","6.3065","6.3223","6.3227","6.3055","-0.17%"
"2018年4月23日","6.3171","6.2965","6.3174","6.2896","0.33%"
"2018年4月20日","6.2965","6.2888","6.2984","6.2838","0.28%"
"2018年4月19日","6.2791","6.2810","6.2831","6.2633","0.07%"
"2018年4月18日","6.2744","6.2870","6.2919","6.2721","-0.13%"
"2018年4月17日","6.2825","6.2736","6.2870","6.2735","0.10%"
"2018年4月16日","6.2765","6.2763","6.2874","6.2755","0.02%"
"2018年4月13日","6.2750","6.2896","6.2953","6.2750","-0.26%"
"2018年4月12日","6.2915","6.2736","6.2942","6.2735","0.36%"
"2018年4月11日","6.2690","6.2855","6.2911","6.2680","-0.23%"
"2018年4月10日","6.2832","6.3079","6.3102","6.2828","-0.38%"
"2018年4月9日","6.3070","6.3031","6.3203","6.2975","0.03%"
"2018年4月6日","6.3052","6.3052","6.3052","6.3052","0.00%"
"2018年4月5日","6.3052","6.3052","6.3052","6.3052","0.00%"
"2018年4月4日","6.3052","6.2898","6.3098","6.2851","0.24%"
"2018年4月3日","6.2899","6.2833","6.2915","6.2833","0.15%"
"2018年4月2日","6.2805","6.2693","6.2843","6.2693","0.08%"
"2018年3月30日","6.2753","6.2855","6.2882","6.2660","-0.23%"
"2018年3月29日","6.2898","6.2993","6.3063","6.2832","-0.13%"
"2018年3月28日","6.2979","6.2706","6.3010","6.2705","0.24%"
"2018年3月27日","6.2831","6.2596","6.2866","6.2460","0.15%"
"2018年3月26日","6.2734","6.3139","6.3208","6.2734","-0.67%"
"2018年3月23日","6.3160","6.3351","6.3382","6.3160","-0.30%"
"2018年3月22日","6.3350","6.3156","6.3361","6.3155","0.19%"
"2018年3月21日","6.3232","6.3364","6.3373","6.3232","-0.17%"
"2018年3月20日","6.3341","6.3255","6.3343","6.3246","0.03%"
"2018年3月19日","6.3322","6.3372","6.3397","6.3302","-0.04%"
"2018年3月16日","6.3350","6.3352","6.3377","6.3259","0.20%"
"2018年3月15日","6.3221","6.3080","6.3244","6.3071","0.06%"
"2018年3月14日","6.3180","6.3220","6.3261","6.3100","-0.06%"
"2018年3月13日","6.3216","6.3223","6.3362","6.3216","-0.13%"
"2018年3月12日","6.3300","6.3301","6.3352","6.3241","-0.04%"
"2018年3月9日","6.3326","6.3502","6.3556","6.3326","-0.15%"
"2018年3月8日","6.3422","6.3332","6.3423","6.3262","0.26%"
"2018年3月7日","6.3255","6.3269","6.3332","6.3195","0.25%"
"2018年3月6日","6.3098","6.3350","6.3479","6.3098","-0.63%"
"2018年3月5日","6.3495","6.3285","6.3496","6.3281","0.06%"
"2018年3月2日","6.3454","6.3446","6.3627","6.3406","-0.20%"
"2018年3月1日","6.3582","6.3295","6.3602","6.3295","0.43%"
"2018年2月28日","6.3311","6.3345","6.3369","6.3247","0.22%"
"2018年2月27日","6.3170","6.3002","6.3172","6.2932","0.02%"
"2018年2月26日","6.3160","6.3266","6.3281","6.3078","-0.34%"
"2018年2月23日","6.3373","6.3498","6.3524","6.3354","-0.20%"
"2018年2月22日","6.3501","6.3479","6.3655","6.3457","0.03%"
"2018年2月21日","6.3482","6.3482","6.3482","6.3482","0.00%"
"2018年2月20日","6.3482","6.3482","6.3482","6.3482","0.00%"
"2018年2月19日","6.3482","6.3482","6.3482","6.3482","0.00%"
"2018年2月16日","6.3482","6.3482","6.3482","6.3482","0.00%"
"2018年2月15日","6.3482","6.3482","6.3482","6.3482","0.00%"
"2018年2月14日","6.3482","6.3393","6.3574","6.3339","0.11%"
"2018年2月13日","6.3410","6.3281","6.3505","6.3240","0.21%"
"2018年2月12日","6.3275","6.2939","6.3328","6.2875","0.49%"
"2018年2月9日","6.2969","6.3252","6.3318","6.2932","-0.48%"
"2018年2月8日","6.3270","6.2899","6.3449","6.2854","0.92%"
"2018年2月7日","6.2694","6.2645","6.2703","6.2565","-0.22%"
"2018年2月6日","6.2832","6.2977","6.3010","6.2688","-0.11%"
"2018年2月5日","6.2900","6.3064","6.3097","6.2867","-0.18%"
"2018年2月2日","6.3014","6.2823","6.3041","6.2707","0.03%"
"2018年2月1日","6.2995","6.2956","6.3097","6.2885","0.17%"
"2018年1月31日","6.2888","6.3302","6.3353","6.2882","-0.56%"
"2018年1月30日","6.3239","6.3370","6.3477","6.3197","-0.21%"
"2018年1月29日","6.3374","6.3296","6.3398","6.3266","0.27%"
"2018年1月26日","6.3201","6.3261","6.3343","6.3118","-0.06%"
"2018年1月25日","6.3238","6.3579","6.3600","6.3185","-0.73%"
"2018年1月24日","6.3700","6.3970","6.4013","6.3696","-0.54%"
"2018年1月23日","6.4047","6.3948","6.4139","6.3948","-0.01%"
"2018年1月22日","6.4052","6.4102","6.4157","6.3998","0.02%"
"2018年1月19日","6.4040","6.4056","6.4112","6.3926","-0.25%"
"2018年1月18日","6.4203","6.4374","6.4437","6.4177","-0.22%"
"2018年1月17日","6.4343","6.4273","6.4404","6.4199","-0.15%"
"2018年1月16日","6.4440","6.4391","6.4477","6.4266","0.11%"
"2018年1月15日","6.4371","6.4521","6.4560","6.4189","-0.37%"
"2018年1月12日","6.4610","6.4886","6.4905","6.4536","-0.54%"
"2018年1月11日","6.4958","6.5133","6.5179","6.4916","-0.19%"
"2018年1月10日","6.5081","6.5328","6.5373","6.5031","-0.33%"
"2018年1月9日","6.5297","6.5069","6.5329","6.5011","0.46%"
"2018年1月8日","6.4997","6.4768","6.5015","6.4768","0.17%"
"2018年1月5日","6.4887","6.4813","6.4911","6.4794","-0.07%"
"2018年1月4日","6.4934","6.5034","6.5111","6.4927","-0.15%"
"2018年1月3日","6.5030","6.4970","6.5126","6.4970","0.15%"
"2018年1月2日","6.4934","6.4963","6.5054","6.4920","-0.20%"
"2018年1月1日","6.5066","6.5066","6.5066","6.5066","0.00%"